Year,Class A Hong Kong,Class A Kowloon,Class A New Territories,Class B Hong Kong,Class B Kowloon,Class B New Territories,Class C Hong Kong,Class C Kowloon,Class C New Territories,Class D Hong Kong,Class D Kowloon,Class D New Territories,Class E Hong Kong,Class E Kowloon,Class E New Territories
1999,41861,35471,35735,49287,37095,35042,60751,43952,41192,65659,50325,47353,77537,71226,47514
2000,35975,30990,31444,43656,31711,31358,54957,38515,37324,63194,46639,41389,80222,70992,44589
2001,31922,26560,27883,38783,28317,27841,49358,33792,32685,56904,40968,34812,70312,58686,35676
2002,29012,23324,24455,34177,24722,24646,42116,30654,29522,51801,37582,31953,65725,49840,35326
2003,25746,20867,20843,30497,22020,21317,40375,28143,26743,48352,34204,30500,66281,55400,34461
2004,32535,25233,26611,41716,33058,28023,56808,46837,35698,66291,62070,41912,94478,75240,44483
2005,39158,29896,30529,49266,38868,32684,66634,56516,41584,82482,73046,49987,115358,96641,57151
2006,42849,30068,28929,52213,38090,31185,69332,57104,41549,85781,75419,48590,120308,99282,56098
2007,52292,36806,32514,61548,47791,34220,83239,76450,44721,105574,95658,57145,150718,129577,70215
2008,63997,42952,37705,72563,53543,38255,96537,83318,48727,123335,102660,58875,172166,137295,74113
2009,61832,44190,39215,71459,55338,39468,95288,85613,49189,120617,101356,57554,164169,145137,69225
2010,75892,55661,48206,86553,69728,47127,113073,107486,59190,147970,133704,66379,207171,165494,74706
2011,93497,67594,58093,101779,81941,56305,135355,123511,68022,167939,154327,73228,234951,214806,80178
2012,108326,79928,67828,112158,92997,65319,142070,128259,75416,177673,158106,76953,259380,185727,87598
2013,123304,94808,83132,126642,103401,75449,159480,138823,85640,184830,157700,79818,255215,194285,78664
2014,128912,104403,91436,129629,108820,81476,153720,138586,89607,183962,160259,85479,249984,235620,73677
2015,146515,117955,107763,147969,120994,94297,171848,148980,101364,198709,166958,96962,238707,206485,88734
2016,137558,112486,102680,140103,115792,91942,162731,149335,97811,197622,167980,94692,238737,231700,82547
2017,158293,130558,121633,160860,131061,106554,186054,163325,112805,215818,179974,103235,251606,273418,91785
2018,180411,149890,138412,176330,147161,120067,210583,177561,128256,232023,194996,116406,286369,270109,103209
2019,183457,157317,144665,183330,153582,125490,213796,188291,132512,247352,204379,121902,281395,245958,95646
2020,187016,163262,149776,182458,160379,132070,211410,187737,129358,235949,196482,120542,273586,253027,101667
2021,189596,165828,152765,184591,161225,136451,214633,188801,137408,246482,210657,126010,286286,228699,115907
2022,173084,152260,143498,173777,152257,130830,202838,171881,134988,229316,187999,119067,250055,217737,108214
2023,154081,134643,130015,159637,142388,121824,192755,161681,130707,214961,187330,121622,265142,201804,108807
2024,133798,116031,111902,141278,126432,108743,166516,159806,118114,206138,177259,110692,248796,198794,96197