Year,Class A Hong Kong,Class A Kowloon,Class A New Territories,Class B Hong Kong,Class B Kowloon,Class B New Territories,Class C Hong Kong,Class C Kowloon,Class C New Territories,Class D Hong Kong,Class D Kowloon,Class D New Territories,Class E Hong Kong,Class E Kowloon,Class E New Territories
1999,3.528495198683,-6.471196264005,34.768227608632,34.391986403992,17.15313846767,48.51473994296,37.213029115769,23.345295644455,53.387682430524,34.255045657063,49.265175721405,45.312267579447,57.01973035093,148.390927092554,48.06812835026
2000,-28.666784331709,-25.299614911457,12.761629839437,0.206389526474,-5.026140318077,25.371173785303,-2.484960848304,2.865289825274,25.457927494185,10.912556801723,16.749766380915,3.913786332033,48.222855520268,125.316932500995,28.442383695161
2001,-32.894248756796,-24.779689461202,14.607188206073,-3.772277724917,-9.297645575033,22.40443018489,-15.720704534112,-20.866689242204,16.789188628035,-7.291846728172,-35.224033051451,-8.942565870609,11.436237748643,76.310886456321,-13.771543720552
2002,-75.1611160901891,-61.7746405517569,-29.2723732933123,-62.167119282173,-55.4455781049792,-24.6809205555908,-94.58312302683,-69.0764805125003,-30.5818443821372,-86.592443629804,-79.623158172532,-57.0539825737561,-101.475229388794,-35.664898177824,-59.609113022267
2003,-73.5662467641371,-58.4298481794162,-29.5029628410203,-54.0925902107468,-52.917297978183,-23.0589482743381,-67.999814072168,-71.2639199364216,-21.5289418633309,-68.698328421485,-67.799421437138,-40.0834508780463,-59.078629758944,-13.22698946373,-41.016485269126
2004,-67.8839368628602,-48.129072655926,-17.9310725021538,-40.914532355035,-33.290646528736,-9.6294932444424,-39.937595982953,-28.313691435248,-5.248033752279,-32.048165316609,1.09279357376,-23.317429285268,12.821958293244,70.214464129042,-29.485021160922
2005,-68.707336704346,-48.9235031950844,-12.9951039952746,-33.91387839206,-26.590805532062,-1.4300166720677,-40.003234944516,-20.827157699137,4.683337006142,-11.723186731902,17.530565480729,-8.717392099702,33.431713888863,93.411417170319,-1.89266561086
2006,-36.169016834107,-27.809003667948,8.410779995009,12.130320988606,4.85815652148,23.878881888221,32.976259069237,41.657132318261,50.375073387003,62.010305186901,96.52250739547,32.925120120207,149.915072060545,219.672026667512,46.435097520136
2007,-26.538127570984,-15.530603598593,9.456500423717,21.307950054713,30.571834033028,25.616332795091,60.341903142332,100.849463535498,43.687493247495,108.07862999734,161.462628945437,44.82920331898,236.541392349813,315.815708784032,69.682080865206
2008,-42.690082455653,-40.070228630017,-7.362869493732,-4.193844293163,-5.12828859045,1.65941990498,18.955912151798,42.351105676202,9.163810056462,56.489205436693,86.46950849419,-21.523112092388,160.035412034002,231.818587265827,11.50533492139
2009,-47.632260153815,-46.37762932134,-17.533689383036,-8.304141517846,-5.415869006207,-5.762938991958,18.289578122384,30.815230163207,7.85154540196,63.452964112875,72.775401731303,-6.664948584757,138.131703370558,198.151776718459,1.8901020645
2010,-53.799254230711,-34.431867518785,-19.143109279577,-11.321112257297,-4.577536486046,-8.430222607531,17.470588815301,49.450104882699,6.31903418126,92.782353231983,120.321779796777,-20.78007822406,222.134898299812,235.168241979954,-5.41233709165
2011,-46.166603499826,-35.07864848035,-7.022915142897,-3.935952357924,9.628686937771,3.530042567594,53.351459226296,88.269373724643,17.225229651591,112.616798130878,171.148599224385,-18.914981668773,246.765119106627,360.394500022635,-8.742194245902
2012,5.009118038844,6.496194695722,13.634219470291,37.683092341642,51.310174383421,23.990690888423,86.808332254294,109.733890945333,39.75063831414,150.270886299832,212.661111982807,-14.566976898961,325.186705286962,272.806948156495,-20.137578033282
2013,-1.361240231693,-4.172715109699,13.257002019877,38.807790619753,37.005380188824,24.851170973845,102.846926359645,116.916527828098,35.897484157512,144.074287679039,170.424255624003,-0.838914169964,300.498265054407,250.878417906845,-16.354510815431
2014,-4.276780970187,7.057917310798,25.554674934917,36.907519545237,31.514061490197,30.21209036919,77.299407574647,101.194520544756,45.982728431833,148.429974084355,166.220106417547,10.407006635917,295.562315268933,388.803190298843,-22.547128207928
2015,11.349776872231,14.34332956328,56.29396993538,58.77930678775,44.601473588907,49.270551886979,102.525348639656,98.859261907825,59.799773285171,167.355887195878,159.628236337808,39.389325769275,261.207563647679,287.045037555626,14.323182615982
2016,4.062775872712,13.682326050232,46.808893896466,54.815976446986,50.753870686205,54.096175717071,100.750916562775,125.94074961072,64.975756923522,180.044402314057,185.741702344452,41.473897359214,294.298956974684,356.861128903497,16.474832143276
2017,30.230797054473,43.737666238165,74.548151454118,87.051019401884,72.270027687619,73.610818857071,133.803135420851,141.560504437478,84.654141760721,213.477501586944,199.280754481131,58.499670446062,312.503647815681,464.952689436929,39.61788397241
2018,61.612050611173,65.631526160316,107.664439248126,109.179511694233,95.317779847076,98.777419784446,186.529366024537,164.929684545679,120.724751612632,254.84513039092,213.044439756868,85.624387445578,398.407188705074,452.872005468255,62.420462895991
2019,61.094999498214,96.14958293257,131.971258128112,135.701729876797,125.583740129483,122.593738516551,212.043086460152,212.064018001592,139.338142308592,307.952971627586,269.882298862651,109.483097558726,403.370906445651,379.636295625578,52.17847409478
2020,124.733814773485,127.368578450767,157.284231517696,161.848121957161,158.585679725568,148.343889919227,235.048775405647,224.930301065843,138.081933157957,301.805470451667,258.571455887859,113.224480795362,410.464492068158,419.832645071494,79.722845887923
2021,131.593640895932,128.185754353945,158.390053331648,170.346187507231,160.162971547114,155.69036210622,245.867465170239,225.171717730294,155.605809237686,332.893667563193,292.754802897816,124.882437864176,450.154333833693,315.718749758744,112.104211773059
2022,82.29075371227,87.851598993727,130.158654619741,147.40193956609,140.842459661026,143.566299069679,217.934655436028,183.625881299361,154.233414192599,285.598405850817,241.728469455022,109.73097555094,334.778612809512,323.323628071044,102.667916284692
2023,51.490717058874,45.46851731854,115.225450110069,145.790302497566,131.977928625716,144.247065601731,221.869796838567,183.522547392578,174.50466413519,284.008852679387,264.001681106943,151.581745900756,438.28809978144,286.674143245105,134.373468831491
2024,-26.811730057853,-35.123266792798,50.860504514762,83.579742603676,66.183779617973,98.137020271745,139.25220076299,173.47455616956,131.947647318695,263.752325067148,243.720194185825,122.75306040775,399.55840003981,293.82251554492,105.548595671271